locus_tag	abundance	source_gene_id
M744_RS01580	941.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01590	247.625000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01605	373.125000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01610	281.875000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01620	10637.625000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS01630	271.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01635	18668.250000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01640	225.000000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01645	2122.125000	Tan2018_dRNAseq_TSS_count_sum_3TSS
M744_RS01650	200.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01655	1644.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01660	1996.750000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01675	469.500000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01680	172.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01685	6633.750000	Tan2018_dRNAseq_TSS_count_sum_5TSS
M744_RS01695	1299.750000	Tan2018_dRNAseq_TSS_count_sum_8TSS
M744_RS01700	106.375000	Tan2018_dRNAseq_TSS_count_sum_1TSS
M744_RS01710	1861.500000	Tan2018_dRNAseq_TSS_count_sum_2TSS
M744_RS01720	596.000000	Tan2018_dRNAseq_TSS_count_sum_2TSS
